Match No.,Stage,Venue,City,Date,Day,Time IST,Team 1,Team 1 Score,Team 2,Team 2 Score,Winner,Winner Margin,Result Type
1,League,M Chinnaswamy Stadium,Bengaluru,28-Mar,Sat,7:30 PM,Royal Challengers Bengaluru,203/4 (15.4 OV),Sunrisers Hyderabad,201/9 (20.0 OV),Royal Challengers Bengaluru,6 Wickets,Won
2,League,Wankhede Stadium,Mumbai,29-Mar,Sun,7:30 PM,Mumbai Indians,224/4 (19.1 OV),Kolkata Knight Riders,220/4 (20.0 OV),Mumbai Indians,6 Wickets,Won
3,League,ACA Stadium,Guwahati,30-Mar,Mon,7:30 PM,Rajasthan Royals,128/2 (12.1 OV),Chennai Super Kings,127 (19.4 OV),Rajasthan Royals,8 Wickets,Won
4,League,New International Cricket Stadium,New Chandigarh,31-Mar,Tue,7:30 PM,Punjab Kings,165/7 (19.1 OV),Gujarat Titans,162/6 (20.0 OV),Punjab Kings,3 Wickets,Won
5,League,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,1-Apr,Wed,7:30 PM,Delhi Capitals,145/4 (17.1 OV),Lucknow Super Giants,141 (18.4 OV),Delhi Capitals,6 Wickets,Won
6,League,Eden Gardens,Kolkata,2-Apr,Thu,7:30 PM,Sunrisers Hyderabad,226/8 (20.0 OV),Kolkata Knight Riders,161 (16.0 OV),Sunrisers Hyderabad,65 Runs,Won
7,League,MA Chidambaram Stadium,Chennai,3-Apr,Fri,7:30 PM,Punjab Kings,210/5 (18.4 OV),Chennai Super Kings,209/5 (20.0 OV),Punjab Kings,5 Wickets,Won
8,League,Arun Jaitley Stadium,Delhi,4-Apr,Sat,3:30 PM,Delhi Capitals,164/4 (18.1 OV),Mumbai Indians,162/6 (20.0 OV),Delhi Capitals,6 Wickets,Won
9,League,Narendra Modi Stadium,Ahmedabad,4-Apr,Sat,7:30 PM,Rajasthan Royals,210/6 (20.0 OV),Gujarat Titans,204/8 (20.0 OV),Rajasthan Royals,6 Runs,Won
10,League,Rajiv Gandhi International Stadium,Hyderabad,5-Apr,Sun,3:30 PM,Lucknow Super Giants,160/5 (19.5 OV),Sunrisers Hyderabad,156/9 (20.0 OV),Lucknow Super Giants,5 Wickets,Won
11,League,M Chinnaswamy Stadium,Bengaluru,5-Apr,Sun,7:30 PM,Royal Challengers Bengaluru,250/3 (20.0 OV),Chennai Super Kings,207 (19.4 OV),Royal Challengers Bengaluru,43 Runs,Won
12,League,Eden Gardens,Kolkata,6-Apr,Mon,7:30 PM,Kolkata Knight Riders,25/2 (3.4 OV),Punjab Kings,,No Result,,No Result
13,League,ACA Stadium,Guwahati,7-Apr,Tue,7:30 PM,Rajasthan Royals,150/3 (11.0 OV),Mumbai Indians,123/9 (11.0 OV),Rajasthan Royals,27 Runs,Won
14,League,Arun Jaitley Stadium,Delhi,8-Apr,Wed,7:30 PM,Gujarat Titans,210/4 (20.0 OV),Delhi Capitals,209/8 (20.0 OV),Gujarat Titans,1 Run,Won
